name,address,phone
City General Hospital,123 Main Street,555-0101
St. Mary's Medical Center,456 Oak Avenue,555-0102
Memorial Hospital,789 Pine Road,555-0103
Community Health Center,321 Elm Street,555-0104
Regional Medical Center,654 Maple Drive,555-0105
Sacred Heart Hospital,987 Cedar Lane,555-0106
University Medical Center,246 Birch Boulevard,555-0107
Children's Hospital,135 Willow Way,555-0108
Veterans Memorial Hospital,864 Spruce Street,555-0109
Mercy General Hospital,753 Ash Avenue,555-0110
County Medical Center,951 Poplar Place,555-0111
Lakeside Hospital,357 Redwood Road,555-0112
Mountain View Medical Center,159 Sequoia Street,555-0113
Riverside Hospital,486 Magnolia Drive,555-0114
Sunset Medical Center,624 Dogwood Lane,555-0115
Northside Hospital,813 Hickory Hill,555-0116
Southside Medical Center,279 Sycamore Street,555-0117
Eastside Hospital,468 Chestnut Circle,555-0118
Westside Medical Center,735 Walnut Way,555-0119
Central City Hospital,912 Beech Boulevard,555-0120
